Fecha,Descripción,Monto,Estado,ID
2026-03-01,Supermercado Carrefour - Compra,-5432.50,Aprobado,1234567890
2026-03-02,Transferencia recibida - Juan Pérez,15000.00,Acreditado,1234567891
2026-03-03,Netflix - Suscripción mensual,-2199.00,Aprobado,1234567892
2026-03-05,Farmacity - Compra,-3250.75,Aprobado,1234567893
2026-03-08,Freelance - Proyecto Web,45000.00,Acreditado,1234567894
2026-03-10,YPF - Combustible,-8500.00,Aprobado,1234567895
2026-03-12,Spotify - Suscripción,-1099.00,Aprobado,1234567896
2026-03-15,Salario Marzo,180000.00,Acreditado,1234567897
2026-03-18,Supermercado Día - Compra,-7890.25,Aprobado,1234567898
2026-03-20,Mercado Libre - Compra auriculares,-12500.00,Aprobado,1234567899
2026-03-22,Pedidos Ya - Delivery,-4320.00,Aprobado,1234567900
2026-03-25,Alquiler Marzo,-95000.00,Aprobado,1234567901
2026-03-26,Edesur - Luz bimestre,-8750.50,Aprobado,1234567902
2026-03-28,Transferencia enviada - María,-20000.00,Aprobado,1234567903
